24.01.2026 18:54:00.236 | Info | =====================
24.01.2026 18:54:00.236 | Info | Equity collected: 53001.20
24.01.2026 18:54:00.283 | Info | === DATASET RESULTS ===
24.01.2026 18:54:00.283 | Info | No rows returned
24.01.2026 18:54:00.283 | Info | =====================
24.01.2026 18:54:00.283 | Info |   SymbolsToCollect: USDJPY, EURJPY, EURGBP, GBPUSD, EURUSD, US500, BTCUSD, XPDUSD,XAUUSD,XAGUSD,NAS100, XPTUSD
24.01.2026 18:54:00.283 | Info | === COLLECTING BARS DATA (ALL TIMEFRAMES) ===
24.01.2026 18:55:00.283 | Info | New Bar Started for timeframe: Minute
24.01.2026 18:55:00.298 | Info | === DATASET RESULTS ===
24.01.2026 18:55:00.298 | Info | Columns: 
24.01.2026 18:55:00.298 | Info | ------------------
24.01.2026 18:55:00.298 | Info | Row 1:  = success
24.01.2026 18:55:00.298 | Info | Total rows: 1
24.01.2026 18:55:00.298 | Info | =====================
24.01.2026 18:55:00.298 | Info | Equity collected: 53000.85
24.01.2026 18:55:00.361 | Info | === DATASET RESULTS ===
24.01.2026 18:55:00.361 | Info | No rows returned
24.01.2026 18:55:00.361 | Info | =====================
24.01.2026 18:55:00.361 | Info |   SymbolsToCollect: USDJPY, EURJPY, EURGBP, GBPUSD, EURUSD, US500, BTCUSD, XPDUSD,XAUUSD,XAGUSD,NAS100, XPTUSD
24.01.2026 18:55:00.361 | Info | === COLLECTING BARS DATA (ALL TIMEFRAMES) ===
