Symbol,unit,lot_size,pip_size,Digits,LotSize,PipSize,VolumeInUnitsMin,VolumeInUnitsMax,VolumeInUnitsStep,Spread,TickSize,TickValue,SwapLong,SwapShort
ANSS.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,4.859999999999957,0.01,0.01,-6.85,1.85
HL.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.004999999999999005,0.0001,0.000134974,-6.72,1.72
B4Bd.DE,EUR,1,0.1,2,1,0.1,1,250,1,0.009999999999999787,0.01,0.0117695,-4.43,-0.57
WG.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.004699999999999982,0.0001,0.000134974,-6.72,1.72
TIFS.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.0020000000000000018,0.0001,0.000134974,-6.72,1.72
DLG.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.06000000000000005,0.0001,0.000134974,-6.72,1.72
DARK.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.6000000000000227,0.0001,0.000134974,-6.96,1.96
DEG.AU,USD,1,0.01,3,1,0.01,1,250,0.1,0.009999999999999787,0.001,0.00067115,-6.12,1.12
HES.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.6999999999999886,0.01,0.01,-6.85,1.85
JNPR.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000005116,0.01,0.01,-6.85,1.85
PARA.US,USD,1,0.1,2,1,0.1,0.1,500,0.1,0.010000000000001563,0.01,0.01,0,0
DHG.AU,USD,1,0.01,3,1,0.01,1,250,0.1,0.009999999999999787,0.001,0.00067115,-6.05,1.05
BKW.AU,USD,1,0.01,3,1,0.01,1,250,0.1,0.3500000000000014,0.001,0.00067115,-6.05,1.05
GOR.AU,USD,1,0.01,3,1,0.01,1,250,0.1,0.009999999999999787,0.001,0.00067115,-6.05,1.05
SOL.AU,USD,1,0.01,3,1,0.01,1,250,0.1,0.00999999999999801,0.001,0.00067115,-6.05,1.05
FL.US,USD,1,0.1,2,1,0.1,0.1,500,0.1,0.010000000000001563,0.01,0.01,-6.51,1.51
AGR.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.009599999999999997,0.0001,0.000134974,-6.47,1.47
0941.HK,USD,1,0.01,3,1,0.01,1,5000,1,0.04999999999999716,0.001,0.00012866618202404774,-5.79,0.79
0883.HK,USD,1,0.01,3,1,0.01,1,5000,1,0.00999999999999801,0.001,0.00012866618202404774,-5.66,0.66
0728.HK,USD,1,0.01,3,1,0.01,1,5000,1,0.009999999999999787,0.001,0.00012866618202404774,-5.66,0.66
0981.HK,USD,1,0.01,3,1,0.01,1,5000,1,0.04999999999999716,0.001,0.00012866618202404774,-5.66,0.66
SXS.GB,USD,1,0.001,4,1,0.001,1,250,0.1,0.01999999999999602,0.0001,0.000134974,-6.47,1.47
HBI.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.020000000000000462,0.01,0.01,-6.28,1.28
