Ticker,OriginalSymbol,Unit,LotSize,PipSize
IGG.L,IG_Group_Holdings_(IGG.L),EUR,1,0
ILU.AX,Iluka_Resources_(ILU.AX),USD,1,0
IMB.L,Imperial_Brands_(IMB.L),EUR,1,0
INCH.L,Inchcape_PLC_(INCH.L),EUR,1,0
IPL.AX,Incitec_Pivot_(IPL.AX),USD,1,0
IGO.AX,Independence_Group_(IGO.AX),USD,1,0
XLI.P,Industrial_Select_(XLI.P),USD,1,0
IFX.DE,Infineon_(IFX.DE),EUR,1,0
INF.L,Informa_(INF.L),EUR,1,0
INA.AX,Ingenia_Group_(INA.AX),USD,1,0
IAG.AX,Insurance_Aus_Grp_(IAG.AX),USD,1,0
IAG.L,Int_Airlines_Group_(IAG.L),EUR,1,0
IHG.L,Intercont_Hotels_(IHG.L),EUR,1,0
ICP.L,Intermediate_Cap_(ICP.L),EUR,1,0
ITRK.L,Intertek_Group_(ITRK.L),EUR,1,0
DBA.P,Invesco_DB_Ag_Fund_(DBA.P),USD,1,0
INVP.L,Investec_PLC_(INVP.L),EUR,1,0
IVC.AX,Invocare_Ltd_(IVC.AX),USD,1,0
IFL.AX,IOOF_Holdings_Ltd_(IFL.AX),USD,1,0
IPH.AX,IPH_Ltd_(IPH.AX),USD,1,0
IRE.AX,Iress_Ltd_(IRE.AX),USD,1,0
ACWI.OQ,iShares_ACWI_ETF_(ACWI.OQ),USD,1,0
EWZ.P,iShares_Brazil_ETF_(EWZ.P),USD,1,0
BRF.P,iShares_Brazil_S-Cap_(BRF.P),USD,1,0
EWC.P,iShares_Canada_ETF_(EWC.P),USD,1,0
FXI.P,iShares_China_25_ETF_(FXI.P),USD,1,0
EFA.P,iShares_EAFE_ETF_(EFA.P),USD,1,0
IEV.P,iShares_Europe_ETF_(IEV.P),USD,1,0
EWQ.P,iShares_France_ETF_(EWQ.P),USD,1,0
EWG.P,iShares_Germany_ETF_(EWG.P),USD,1,0
EWM.P,iShares_Malaysia_ETF_(EWM.P),USD,1,0
EWW.P,iShares_Mexico_ETF_(EWW.P),USD,1,0
ENZL.P,iShares_New_Zealand_(ENZL.P),USD,1,0
EPU.P,iShares_Peru_ETF_(EPU.P),USD,1,0
IWV.P,iShares_Russell_3000_(IWV.P),USD,1,0
EWP.P,iShares_Spain_ETF_(EWP.P),USD,1,0
EWD.P,iShares_Sweden_ETF_(EWD.P),USD,1,0
EWT.P,iShares_Taiwan_ETF_(EWT.P),USD,1,0
THD.P,iShares_Thailand_ETF_(THD.P),USD,1,0
EWU.P,iShares_U.K_ETF_(EWU.P),USD,1,0
IUSG.P,iShares_US_Growth_(IUSG.P),USD,1,0
PFF.P,iShares_US_Prf_Stock_(PFF.P),USD,1,0
ITV.L,ITV_(ITV.L),EUR,1,0
IWG.L,IWG_PLC_(IWG.L),EUR,1,0
JDW.L,J_D_Wetherspoon_PLC_(JDW.L),EUR,1,0
JHX.AX,James_Hardie_(JHX.AX),USD,1,0
JHG.AX,Janus_Henderson_(JHG.AX),USD,1,0
JBH.AX,JB_Hi-Fi_Limited_(JBH.AX),USD,1,0
JD.L,JD_Sports_(JD.L),EUR,1,0
JEF.N,Jefferies_Financial_(JEF.N),USD,1,0
GDXJ.P,Jnr_Gold_Miner_(GDXJ.P),USD,1,0
WG.L,John_Wood_Group_PLC_(WG.L),EUR,1,0
JMAT.L,Johnson_Matthey_(JMAT.L),EUR,1,0
JIN.AX,Jumbo_Interactive_(JIN.AX),USD,1,0
JE.L,Just-Eat_Group_Hldg_(JE.L),EUR,1,0
SDF.DE,K+S_AG_(SDF.DE),EUR,1,0
KNOS.L,Kainos_Group_PLC_(KNOS.L),EUR,1,0
KGXD.DE,Kion_Group_AG_(KGXD.DE),EUR,1,0
KBXD.DE,Knorr-Bremse_AG_(KBXD.DE),EUR,1,0
LAND.L,Land_Securities_(LAND.L),EUR,1,0
LXS.DE,Lanxess_AG_(LXS.DE),EUR,1,0
ILF.P,LATAM_40_ETF_(ILF.P),USD,1,0
LEG.DE,LEG_Immobilien_AG_(LEG.DE),EUR,1,0
LGEN.L,Legal_&_General_(LGEN.L),EUR,1,0
LLC.AX,Lendlease_Group_(LLC.AX),USD,1,0
LIN.DE,Linde_(LIN.DE),EUR,1,0
LNK.AX,Link_Admin_HLDG_(LNK.AX),USD,1,0
LIS.AX,Li-S_Energy_(LIS.AX),USD,1,0
LIT.P,Lithium_ETF_(LIT.P),USD,1,0
LLOY.L,Lloyds_Banking_(LLOY.L),EUR,1,0
LOGI.O,Logitech_Int_(LOGI.O),USD,1,0
LSE.L,London_Stock_Exch_(LSE.L),EUR,1,0
LMP.L,LondonMetric_Prop_(LMP.L),EUR,1,0
LHA.DE,Lufthansa_(LHA.DE),EUR,1,0
LULU.O,Lululemon_Athletica_(LULU.O),USD,1,0
LYC.AX,Lynas_Corporation_(LYC.AX),USD,1,0
MNG.L,M&G_(MNG.L),EUR,1,0
MQG.AX,Macquarie_Grp_Ltd_(MQG.AX),USD,1,0
MFG.AX,Magellan_Fin._Grp._(MFG.AX),USD,1,0
MKS.L,Marks_and_Spencer__(MKS.L),EUR,1,0
VAC.N,Marriott_Vacations_(VAC.N),USD,1,0
MSLH.L,Marshalls_PLC_(MSLH.L),EUR,1,0
MAT.O,Mattel_Inc._(MAT.O),USD,1,0
MYX.AX,Mayne_Pharma_Ltd_(MYX.AX),USD,1,0
MMS.AX,McmillanShakespeare_(MMS.AX),USD,1,0
MPL.AX,Medibank_Private_(MPL.AX),USD,1,0
MDC.L,Mediclinic_Int._(MDC.L),EUR,1,0
MGGT.L,Meggitt_(MGGT.L),EUR,1,0
MRO.L,Melrose_(MRO.L),EUR,1,0
MELI.O,MercadoLibre_Inc_(MELI.O),USD,1,0
MRC.L,Mercantile_Inv_Trst_(MRC.L),EUR,1,0
MRK.DE,Merck_(MRK.DE),EUR,1,0
XME.P,Metals_&_Mining_(XME.P),USD,1,0
MTS.AX,Metcash_Ltd_(MTS.AX),USD,1,0
B4BD.DE,Metro_AG_(B4BD.DE),EUR,1,0
MSTR.O,MicroStrategy_(MSTR.O),USD,1,0
MDY.P,MidCap_400_ETF_(MDY.P),USD,1,0
MIN.AX,Mineral_Resources_(MIN.AX),USD,1,0
MGR.AX,Mirvac_Group_(MGR.AX),USD,1,0
MND.AX,Monadelphous_Group_(MND.AX),USD,1,0
MNDI.L,Mondi_(MNDI.L),EUR,1,0
MONY.L,Moneysupermarket_(MONY.L),EUR,1,0
MORN.O,Morningstar_Inc._(MORN.O),USD,1,0
MOR.DE,Morphosys_AG_(MOR.DE),EUR,1,0
MRW.L,Morrisons_(MRW.L),EUR,1,0
EWA.P,MSCI_Australia_ETF_(EWA.P),USD,1,0
EWH.P,MSCI_Hong_Kong_ETF_(EWH.P),USD,1,0
EIDO.P,MSCI_Indonesia_ETF_(EIDO.P),USD,1,0
NORW.P,MSCI_Norway_ETF_(NORW.P),USD,1,0
EPP.P,MSCI_Pacific_ex-JP_(EPP.P),USD,1,0
PAK.P,MSCI_Pakistan_ETF_(PAK.P),USD,1,0
EPHE.P,MSCI_Philippine_ETF_(EPHE.P),USD,1,0
PGAL.P,MSCI_Portugal_ETF_(PGAL.P),USD,1,0
EWS.P,MSCI_Singapore_ETF_(EWS.P),USD,1,0
EWY.P,MSCI_South_Korea_ETF_(EWY.P),USD,1,0
EZA.P,MSCI_Sth_Africa_ETF_(EZA.P),USD,1,0
MTX.DE,MTU_Aero_(MTX.DE),EUR,1,0
MUV.DE,Muenchen_Rueck_(MUV.DE),EUR,1,0
IGE.P,N.A_NatRes_ETF_(IGE.P),USD,1,0
NNOX.O,Nano_X_Imaging_(NNOX.O),USD,1,0
NAN.AX,Nanosonics_Ltd_(NAN.AX),USD,1,0
NAB.AX,Nat_Australia_Bank_(NAB.AX),USD,1,0
NEX.L,National_Express_(NEX.L),EUR,1,0
NG.L,National_Grid_(NG.L),EUR,1,0
NSR.AX,National_Storage_(NSR.AX),USD,1,0
NWG.L,Natwest_Group_(NWG.L),EUR,1,0
NEA.AX,Nearmap_Ltd_(NEA.AX),USD,1,0
NEM.DE,Nemetschek_SE_(NEM.DE),EUR,1,0
NWL.AX,Netwealth_Group_(NWL.AX),USD,1,0
NHC.AX,New_Hope_Corp._(NHC.AX),USD,1,0
NCM.AX,Newcrest_Mining_(NCM.AX),USD,1,0
NWS.AX,News_Corp_Class_B_(NWS.AX),USD,1,0
NXT.L,Next_(NXT.L),EUR,1,0
NXT.AX,NEXTDC_Ltd_(NXT.AX),USD,1,0
NHF.AX,Nib_Holdings_Ltd_(NHF.AX),USD,1,0
NEC.AX,Nine_Entertainment_(NEC.AX),USD,1,0
NST.AX,Northern_Star_(NST.AX),USD,1,0
NVAX.O,Novavax_(NVAX.O),USD,1,0
NWH.AX,NRW_Holdings_Ltd_(NWH.AX),USD,1,0
NUF.AX,Nufarm_(NUF.AX),USD,1,0
OCDO.L,Ocado_Group_(OCDO.L),EUR,1,0
OSH.AX,Oil_Search_Ltd_(OSH.AX),USD,1,0
XOP.P,OilGas_Exp_&_Prod_(XOP.P),USD,1,0
OML.AX,Ooh!Media_Ltd_(OML.AX),USD,1,0
ORI.AX,Orica_Ltd_(ORI.AX),USD,1,0
ORG.AX,Origin_Energy_Ltd_(ORG.AX),USD,1,0
ORE.AX,Orocobre_Ltd_(ORE.AX),USD,1,0
ORA.AX,Orora_Ltd_(ORA.AX),USD,1,0
OSR.DE,OSRAM_Licht_AG_(OSR.DE),EUR,1,0
OZL.AX,OZ_Minerals_(OZL.AX),USD,1,0
PSON.L,Pearson_(PSON.L),EUR,1,0
PDL.AX,Pendal_Group_Ltd_(PDL.AX),USD,1,0
PNN.L,Pennon_Group_(PNN.L),EUR,1,0
PRN.AX,Perenti_Global_Ltd_(PRN.AX),USD,1,0
PPT.AX,Perpetual_Ltd_(PPT.AX),USD,1,0
PSN.L,Persimmon_(PSN.L),EUR,1,0
PETS.L,Pets_at_Home_Grp_(PETS.L),EUR,1,0
XPH.P,Pharmaceuticals_ETF_(XPH.P),USD,1,0
PHNX.L,Phoenix_Grp_Hldg_(PHNX.L),EUR,1,0
AAAU.P,Physical_Gold_ETF_(AAAU.P),USD,1,0
PLS.AX,Pilbara_Min_Limited_(PLS.AX),USD,1,0
PTM.AX,Platinum_Asset_Mgt_(PTM.AX),USD,1,0
PLUS.L,Plus500_Ltd_(PLUS.L),EUR,1,0
PCT.L,Polar_Cap_Tech_Trst__(PCT.L),EUR,1,0
POLY.L,Polymetal_(POLY.L),EUR,1,0
PNV.AX,Polynovo_Ltd_(PNV.AX),USD,1,0
PPK.AX,PPK_Group_Limited_(PPK.AX),USD,1,0
PMV.AX,Premier_Investments_(PMV.AX),USD,1,0
PME.AX,Pro_Medicus_Ltd_(PME.AX),USD,1,0
PSM.DE,ProSiebenSat1_Media_(PSM.DE),EUR,1,0
PRU.L,Prudential_(PRU.L),EUR,1,0
PUM.DE,Puma_SE_(PUM.DE),EUR,1,0
QAN.AX,Qantas_Airways_Ltd_(QAN.AX),USD,1,0
QBE.AX,QBE_Insurance_Grp_(QBE.AX),USD,1,0
QIAD.DE,Qiagen_N.V._(QIAD.DE),EUR,1,0
QQ.L,QinetiQ_Group_PLC_(QQ.L),EUR,1,0
QUB.AX,QUBE_Holdings_Ltd_(QUB.AX),USD,1,0
QLT.L,Quilter_PLC_(QLT.L),EUR,1,0
RHC.AX,Ramsay_Health_Care_(RHC.AX),USD,1,0
RAA.DE,Rational_AG_(RAA.DE),EUR,1,0
REA.AX,REA_Group_(REA.AX),USD,1,0
RB.L,Reckitt_Benckiser_(RB.L),EUR,1,0
RRL.AX,Regis_Resources_(RRL.AX),USD,1,0
RWC.AX,Reliance_Worldwide_(RWC.AX),USD,1,0
REL.L,RELX_PLC_(REL.L),EUR,1,0
IPO.P,Renaissance_IPO_ETF_(IPO.P),USD,1,0
TRIG.L,Renewables_Infras_(TRIG.L),EUR,1,0
RTO.L,Rentokil_Initial_(RTO.L),EUR,1,0
RMD.AX,Resmed_Inc_(RMD.AX),USD,1,0
RSG.AX,Resolute_Mining_(RSG.AX),USD,1,0
XRT.P,Retail_ETF_(XRT.P),USD,1,0
KRE.P,Rgnl._Banking_ETF_(KRE.P),USD,1,0
RHM.DE,Rheinmetall_AG_(RHM.DE),EUR,1,0
RMV.L,Rightmove_(RMV.L),EUR,1,0
RIO.AX,Rio_Tinto_Ltd_(RIO.AX),USD,1,0
RIO.L,Rio_Tinto_PLC_(RIO.L),EUR,1,0
RCP.L,RIT_Capital_Prtnrs__(RCP.L),EUR,1,0
RIVN.O,Rivian_(RIVN.O),USD,1,0
RKLB.O,Rocket_Lab_(RKLB.O),USD,1,0
ROKU.O,Roku_(ROKU.O),USD,1,0
RR.L,Rolls-Royce_(RR.L),EUR,1,0
ROR.L,Rotork_PLC_(ROR.L),EUR,1,0
RDSA.L,Royal_Dutch_Shell_(RDSA.L),EUR,1,0
RMG.L,Royal_Mail_PLC_(RMG.L),EUR,1,0
RTL.DE,RTL_Group_SA_(RTL.DE),EUR,1,0
IWM.P,Russell_2000_ETF_(IWM.P),USD,1,0
RWE.DE,RWE_AG_(RWE.DE),EUR,1,0
SAFE.L,Safestore_Holdings_(SAFE.L),EUR,1,0
SGE.L,Sage_Group_(SGE.L),EUR,1,0
SBRY.L,Sainsbury_(SBRY.L),EUR,1,0
SFR.AX,Sandfire_Resources_(SFR.AX),USD,1,0
STO.AX,Santos_Ltd_(STO.AX),USD,1,0
SAP.DE,SAP_(SAP.DE),EUR,1,0
SRT.DE,Sartorius_AG_(SRT.DE),EUR,1,0
SVS.L,Savills_PLC_(SVS.L),EUR,1,0
SCP.AX,SCA_Property_Group_(SCP.AX),USD,1,0
SCG.AX,Scentre_Group_(SCG.AX),USD,1,0
SDR.L,Schroders_(SDR.L),EUR,1,0
SMT.L,Scottish_Mtge_IT_(SMT.L),EUR,1,0
SSE.L,Scottish_South_Nrg_(SSE.L),EUR,1,0
G24.DE,Scout24_AG_(G24.DE),EUR,1,0
SE.N,Sea_Limited_(SE.N),USD,1,0
SEK.AX,Seek_Ltd_(SEK.AX),USD,1,0
SGRO.L,SEGRO_(SGRO.L),EUR,1,0
SEQI.L,Sequoia_Economic_IF_(SEQI.L),EUR,1,0
SRP.L,Serco_Group_PLC_(SRP.L),EUR,1,0
SSM.AX,Service_Stream_(SSM.AX),USD,1,0
SVW.AX,Seven_Group_Hldgs_(SVW.AX),USD,1,0
SVT.L,Severn_Trent_(SVT.L),EUR,1,0
SHB.L,Shaftesbury_PLC_(SHB.L),EUR,1,0
SIE.DE,Siemens_AG_(SIE.DE),EUR,1,0
SHL.DE,Siemens_Hlthnrs_(SHL.DE),EUR,1,0
WAF.DE,Siltronic_AG_(WAF.DE),EUR,1,0
SLR.AX,Silver_Lake_Res_(SLR.AX),USD,1,0
SGM.AX,Sims_Metal_Mgt_Ltd_(SGM.AX),USD,1,0
SKC.AX,Skycity_Ent_Grp_Ltd_(SKC.AX),USD,1,0
SIQ.AX,Smartgroup_Corp._(SIQ.AX),USD,1,0
SN.L,Smith_&_Nephew_(SN.L),EUR,1,0
SMIN.L,Smiths_Group_(SMIN.L),EUR,1,0
SSON.L,Smithson_Inv._Trust_(SSON.L),EUR,1,0
SKG.L,Smurfit_Kappa_Grp_(SKG.L),EUR,1,0
SNOW.N,Snowflake_Inc_(SNOW.N),USD,1,0
BUZZ.P,Social_Sentimnt_ETF_(BUZZ.P),USD,1,0
SCT.L,Softcat_PLC_(SCT.L),EUR,1,0
SOW.DE,Software_AG_(SOW.DE),EUR,1,0
SHL.AX,Sonic_Healthcare_(SHL.AX),USD,1,0
S32.AX,South32_Ltd_(S32.AX),USD,1,0
SKI.AX,Spark_Infra._(SKI.AX),USD,1,0
SPK.AX,Spark_New_Zealand_(SPK.AX),USD,1,0
DIA.P,SPDR_DJ_Ind._Avg._(DIA.P),USD,1,0
SXS.L,Spectris_PLC_(SXS.L),EUR,1,0
SPX.L,Spirax_Sarco_Eng_(SPX.L),EUR,1,0
SQ.N,Square_Inc_(SQ.N),USD,1,0
SBM.AX,ST_Barbara_Ltd_(SBM.AX),USD,1,0
STJ.L,St_James's_Place_(STJ.L),EUR,1,0
STAN.L,Standard_Chtd_(STAN.L),EUR,1,0
SLA.L,Std_Life_Aberdeen_(SLA.L),EUR,1,0
SDF.AX,Steadfast_Group_Ltd_(SDF.AX),USD,1,0
SXL.AX,STHN_Cross_Media_(SXL.AX),USD,1,0
SGP.AX,Stockland_Corp_Ltd_(SGP.AX),USD,1,0
SAX.DE,Stroer_SE_&_Co._(SAX.DE),EUR,1,0
SUN.AX,Suncorp_Group_(SUN.AX),USD,1,0
SUL.AX,Super_Retail_Group_(SUL.AX),USD,1,0
SYD.AX,Sydney_Airport_(SYD.AX),USD,1,0
SY1.DE,Symrise_AG_(SY1.DE),EUR,1,0
SYNC.L,Syncona_Limited_(SYNC.L),EUR,1,0
SYNT.L,Synthomer_PLC_(SYNT.L),EUR,1,0
TAH.AX,Tabcorp_Hldgs_Ltd_(TAH.AX),USD,1,0
TEG.DE,TAG_Immobilien_AG_(TEG.DE),EUR,1,0
TGR.AX,Tassal_Group_Ltd_(TGR.AX),USD,1,0
TATE.L,Tate_&_Lyle_PLC_(TATE.L),EUR,1,0
TW.L,Taylor_Wimpey_(TW.L),EUR,1,0
TMVD.DE,TeamViewer_AG_(TMVD.DE),EUR,1,0
TNE.AX,Technology_One_(TNE.AX),USD,1,0
O2D.DE,Telefonica_DE_HLdgs_(O2D.DE),EUR,1,0
